n,belief_p_bad,belief_p_good,munro_sigma,our_sigma,sigma_diff,munro_V,our_V,V_diff
1,0.0,1.0,0.0,0.0,0.0,8.94427190999916,8.944262431616718,-9.478382441585609e-06
1,0.01,0.99,0.0,0.0,0.0,8.8689713265229,8.868971137480237,-1.8904266241293044e-07
1,0.02,0.98,0.0,0.0,0.0,8.79367074304664,8.793670584697937,-1.583487030387687e-07
1,0.05,0.95,0.0,0.0,0.0,8.56776899261786,8.567768868268452,-1.24349408991975e-07
1,0.1,0.9,0.0,0.0,0.0,8.19126607523655,8.191265971867843,-1.0336870737148729e-07
1,0.19,0.81,0.0,0.0,0.0,7.51356082395021,7.513560740765993,-8.318421773623186e-08
1,0.33,0.6699999999999999,0.0,0.0,0.0,6.45935265528256,6.459352593649432,-6.163312793461273e-08
1,0.5,0.5,0.0,0.0,0.0,5.17924273618613,5.179242696795429,-3.93907013673811e-08
1,0.68,0.31999999999999995,0.0,0.0,0.0,3.82383223361344,3.8238322178933113,-1.572012875428186e-08
1,0.82,0.18000000000000005,0.0,0.0,0.0,2.76962406494579,2.7696240714705618,6.524771833937848e-09
1,0.9,0.09999999999999998,0.0,0.0,0.0,2.1672193971357,2.1672194217230145,2.458731440668771e-08
1,0.95,0.050000000000000044,0.0,0.0,0.0,1.7907164797544,1.7907165253224038,4.5568003814722147e-08
1,0.98,0.020000000000000018,0.0,0.0,0.0,1.56481472932562,1.5648148088929221,7.956730208036333e-08
1,0.99,0.010000000000000009,0.0,0.0,0.0,1.48951414584936,1.4895142561106198,1.1026125990021285e-07
1,1.0,0.0,0.0,0.0,0.0,1.4142135623731,1.4142229619741387,9.399601038628802e-06
2,0.0,1.0,0.0,0.0,0.0,8.94427190999916,8.944263712770699,-8.197228460460337e-06
2,0.01,0.99,0.0,0.0,0.0,8.89760794542223,8.87837264722839,-0.019235298193839512
2,0.02,0.98,0.0,0.0,0.0,8.80966220137144,8.811930398984781,0.002268197613341627
2,0.05,0.95,0.0,0.0,0.0,8.63108857935288,8.611109238182323,-0.019979341170557774
2,0.1,0.9,0.0,0.0,0.0,8.28994208325665,8.272623278725282,-0.01731880453136725
2,0.19,0.81,0.0,0.0,0.0,7.68103890706841,7.654368786543367,-0.026670120525042584
2,0.33,0.6699999999999999,0.0,0.0,0.0,6.71636301508582,6.672009606223878,-0.04435340886194172
2,0.5,0.5,0.0,0.0,0.0,5.46105813341143,5.4419585019534935,-0.01909963145793636
2,0.68,0.31999999999999995,0.0,0.015325550310096431,0.015325550310096431,4.13216511885924,4.06809969695284,-0.06406542190640074
2,0.82,0.18000000000000005,0.453,0.47353443909125553,0.02053443909125552,2.99986932569357,3.0691671789696837,0.06929785327611393
2,0.9,0.09999999999999998,1.0,1.0,0.0,2.43915758875542,2.6517183169198217,0.21256072816440152
2,0.95,0.050000000000000044,1.0,1.0,0.0,2.43915758875542,2.4391575887554247,4.440892098500626e-15
2,0.98,0.020000000000000018,1.0,1.0,0.0,2.43915758875542,2.4391575887554247,4.440892098500626e-15
2,0.99,0.010000000000000009,1.0,1.0,0.0,2.43915758875542,2.4391575887554247,4.440892098500626e-15
2,1.0,0.0,1.0,1.0,0.0,2.43915758875542,2.4391575887554247,4.440892098500626e-15
3,0.0,1.0,0.0,0.0,0.0,8.94427190999916,8.944264647281715,-7.262717444334044e-06
3,0.01,0.99,0.0,0.0,0.0,8.90237882863024,8.88484292593519,-0.0175359026950499
3,0.02,0.98,0.0,0.0,0.0,8.82363303671436,8.824208626005795,0.0005755892914347527
3,0.05,0.95,0.0,0.0,0.0,8.65961029741041,8.638989197169485,-0.020621100240925117
3,0.1,0.9,0.0,0.0,0.0,8.34514111390152,8.32189220673574,-0.023248907165779542
3,0.19,0.81,0.0,0.0,0.0,7.76677897736139,7.731188620483949,-0.0355903568774405
3,0.33,0.6699999999999999,0.0,0.0,0.0,6.83268797227768,6.766531763040678,-0.06615620923700138
3,0.5,0.5,0.0,0.0,0.0,5.56603077290255,5.51263402517975,-0.05339674772280034
3,0.68,0.31999999999999995,0.402,0.40047118854679714,-0.001528811453202883,4.15307319437939,4.215118355710379,0.06204516133098892
3,0.82,0.18000000000000005,1.0,1.0,0.0,3.18957697911143,3.543405379660941,0.3538284005495109
3,0.9,0.09999999999999998,1.0,1.0,0.0,3.18957697911143,3.1895769791114263,-3.552713678800501e-15
3,0.95,0.050000000000000044,1.0,1.0,0.0,3.18957697911143,3.1895769791114272,-2.6645352591003757e-15
3,0.98,0.020000000000000018,1.0,1.0,0.0,3.18957697911143,3.189576979111427,-3.1086244689504383e-15
3,0.99,0.010000000000000009,1.0,1.0,0.0,3.18957697911143,3.189576979111427,-3.1086244689504383e-15
3,1.0,0.0,1.0,1.0,0.0,3.18957697911143,3.189576979111427,-3.1086244689504383e-15
4,0.0,1.0,0.0,0.0,0.0,8.94427190999916,8.944265414510724,-6.495488435120933e-06
4,0.01,0.99,0.0,0.0,0.0,8.90595436370813,8.889567228499228,-0.016387135208901782
4,0.02,0.98,0.0,0.0,0.0,8.83173160234872,8.832732280195621,0.0010006778469016098
4,0.05,0.95,0.0,0.0,0.0,8.67816038767841,8.6563662829436,-0.021794104734810915
4,0.1,0.9,0.0,0.0,0.0,8.37149780994912,8.347581574613116,-0.023916235336004732
4,0.19,0.81,0.0,0.0,0.0,7.80236787255642,7.756549248307899,-0.04581862424852101
4,0.33,0.6699999999999999,0.0,0.0026851547171781623,0.0026851547171781623,6.84403188248031,6.755664378534491,-0.08836750394581916
4,0.5,0.5,0.11,0.09398041510123378,-0.016019584898766218,5.49474899808656,5.375187777961598,-0.11956122012496184
4,0.68,0.31999999999999995,0.989,0.9642063433069336,-0.024793656693066435,3.83294763866362,4.531257506655439,0.6983098679918185
4,0.82,0.18000000000000005,1.0,1.0,0.0,3.80639629670666,3.8375594085005273,0.031163111793867326
4,0.9,0.09999999999999998,1.0,1.0,0.0,3.80639629670666,3.806396296706665,4.884981308350689e-15
4,0.95,0.050000000000000044,1.0,1.0,0.0,3.80639629670666,3.806396296706665,4.884981308350689e-15
4,0.98,0.020000000000000018,1.0,1.0,0.0,3.80639629670666,3.806396296706665,4.884981308350689e-15
4,0.99,0.010000000000000009,1.0,1.0,0.0,3.80639629670666,3.806396296706665,4.884981308350689e-15
4,1.0,0.0,1.0,1.0,0.0,3.80639629670666,3.806396296706665,4.884981308350689e-15
