"n","belief","sigma","V"
1,4.48323566228638e-07,0,8.94426916812182
1,9.31133111068339e-07,0,8.94426621533358
1,1.93388990684002e-06,0,8.94426008262866
1,4.01653221071115e-06,0,8.94424734551158
1,8.3419923543744e-06,0,8.94422089166872
1,1.7325520781311e-05,0,8.94416594980324
1,3.59831025485786e-05,0,8.94405184292908
1,7.4731240149641e-05,0,8.94381486533379
1,0.000155198546886309,0,8.94332273977551
1,0.000322281578390244,0,8.94230088588858
1,0.000669121813665937,0,8.94017966484435
1,0.00138871383898952,0,8.93577875170877
1,0.00287994475268055,0,8.92665861490166
1,0.00596292981571596,0,8.90780355678088
1,0.0123055251740701,0,8.86901322803352
1,0.025223366530346,0,8.79000971533802
1,0.0510016035657015,0,8.63235401879233
1,0.100411334552102,0,8.33017177319839
1,0.188195991091314,0,7.79329443927783
1,0.325,0,6.95662235479194
1,0.5,0,5.88634951737267
1,0.675,0,4.8160766799534
1,0.811804008908686,0,3.97940459546752
1,0.899588665447898,0,3.44252726154696
1,0.948998396434298,0,3.14034501595303
1,0.974776633469654,0,2.98268931940733
1,0.98769447482593,0,2.90368580671183
1,0.994037070184284,0,2.86489547796447
1,0.99712005524732,0,2.84604041984369
1,0.998611286161011,0,2.83692028303658
1,0.999330878186334,0,2.832519369901
1,0.99967771842161,0,2.83039814885677
1,0.999844801453114,0,2.82937629496984
1,0.99992526875985,0,2.82888416941156
1,0.999964016897451,0,2.82864719181627
1,0.999982674479219,0,2.82853308494211
1,0.999991658007646,0,2.82847814307663
1,0.999995983467789,0,2.82845168923377
1,0.999998066110093,0,2.82843895211669
1,0.999999068866889,0,2.82843281941177
1,0.999999551676434,0,2.82842986662354
2,4.48323566228638e-07,0,8.9442655673717
2,9.31133111068339e-07,0,8.9442638623593
2,1.93388990684002e-06,0,8.94425904079436
2,4.01653221071115e-06,0,8.94424806303589
2,8.3419923543744e-06,0,8.94422454019394
2,1.7325520781311e-05,0,8.94417512896534
2,3.59831025485786e-05,0,8.94407208763147
2,7.4731240149641e-05,0,8.94385769322942
2,0.000155198546886309,0,8.94341209354296
